dept_id,univ_id,department,category
001012,001,中國文學系,中文;文學
001022,001,外國語文學系,外國語文;文學
001032,001,歷史學系,歷史
001042,001,哲學系,哲學
001052,001,人類學系,人類學
001062,001,圖書資訊學系,圖資
001072,001,日本語文學系,日文;文學
001082,001,戲劇學系,戲劇
001092,001,數學系,數學
001102,001,物理學系,物理
001112,001,化學系,化學
001122,001,地質科學系,地球科學
001132,001,心理學系,心理學
001142,001,地理環境資源學系,環境;地理
001152,001,大氣科學系,大氣
001162,001,政治學系政治理論組,政治
001172,001,政治學系國際關係組,政治;國際關係
001182,001,政治學系公共行政組,政治;公共行政
001192,001,經濟學系A組,經濟
001202,001,經濟學系B組,經濟
001212,001,經濟學系C組,經濟
001222,001,社會學系,社會學
001232,001,社會工作學系,社會工作
001242,001,醫學系,醫學
001252,001,醫學系(公費生),醫學
001262,001,牙醫學系,醫學;牙醫
001272,001,藥學系,藥學
001282,001,醫學檢驗暨生物技術學系,生命科學;生物科技;醫學檢驗
001292,001,護理學系,護理
001302,001,物理治療學系,物理;物理治療
001312,001,職能治療學系,職能治療
001322,001,土木工程學系,土木
001332,001,機械工程學系,機械
001342,001,化學工程學系,化學;化學工程
001352,001,工程科學及海洋工程學系,工程科學;船舶工程
001362,001,材料科學與工程學系,材料
001372,001,醫學工程學系,生醫工程
001382,001,農藝學系,農藝
001392,001,生物環境系統工程學系,環境;生命科學;系統工程
001402,001,農業化學系,化學
001412,001,森林環境暨資源學系,環境;森林
001422,001,動物科學技術學系,動物科學
001432,001,農業經濟學系,經濟;農業經濟
001442,001,園藝暨景觀學系,景觀;園藝
001452,001,獸醫學系,獸醫;醫學
001462,001,生物產業傳播暨發展學系,傳播;生命科學
001472,001,生物機電工程學系,機電工程;生命科學;生物機電
001482,001,昆蟲學系,昆蟲
001492,001,植物病理與微生物學系,生命科學;微生物;植物保護
001502,001,工商管理學系企業管理組,管理;企管;工商管理
001512,001,工商管理學系科技管理組,管理;工商管理
001522,001,會計學系,會計
001532,001,財務金融學系,財務金融;金融
001542,001,國際企業學系,國際企業
001552,001,資訊管理學系,管理;資管
001562,001,資訊管理學系(資安組),管理;資管;資訊安全
001572,001,公共衛生學系,公共衛生
001582,001,電機工程學系,電機
001592,001,資訊工程學系,資訊工程
001602,001,資訊工程學系(APCS組),資訊工程
001612,001,資訊工程學系(資安組),資訊工程;資訊安全
001622,001,法律學系法學組,法律
001632,001,法律學系司法組,法律;犯罪
001642,001,法律學系財經法學組,法律
001652,001,生命科學系,生命科學
001662,001,生化科技學系,生物科技
001672,001,國際體育運動事務學士學位學程,學士班;體育
001682,001,希望組甲組(文社法),招生
001692,001,希望組乙組(地理及生傳),招生;地理
001702,001,希望組丙組(理),招生
001712,001,希望組丁組(生醫),招生
001722,001,希望組戊組(工電資),招生
001732,001,希望組己組(經管),招生
001742,001,希望組庚組(生農),招生
001752,001,希望組辛組(醫牙),招生
002012,002,教育學系,教育
002022,002,教育心理與輔導學系,諮商輔導
002032,002,社會教育學系,社會發展;教育
002042,002,社會教育學系(青年儲蓄帳戶組),青年儲蓄;社會發展;教育
002052,002,健康促進與衛生教育學系,教育;職業安全
002062,002,幼兒與家庭科學學系家庭生活與教育組,幼教;家庭
002072,002,幼兒與家庭科學學系幼兒發展與教育組,幼教;家庭
002082,002,幼兒與家庭科學學系幼兒發展與教育組(青年儲蓄帳戶組),青年儲蓄;幼教;家庭
002092,002,公民教育與活動領導學系,教育;休閒
002102,002,特殊教育學系,教育;特教
002112,002,特殊教育學系(公費生),教育;特教
002122,002,學習科學學士學位學程,學士班
002132,002,教育學院學士班,學士班;教育
