req_id,dept_id,exam_year,subject_id,require_level
0,1012,114,0,前標
1,1012,114,1,均標
2,1012,114,2,均標
3,1012,114,3,均標
4,1012,114,4,均標
5,1012,114,5,
6,1022,114,0,前標
7,1022,114,1,頂標
8,1022,114,2,均標
9,1022,114,3,均標
10,1022,114,4,前標
11,1022,114,5,
12,1032,114,0,前標
13,1032,114,1,前標
14,1032,114,2,均標
15,1032,114,3,均標
16,1032,114,4,前標
17,1032,114,5,
18,1042,114,0,前標
19,1042,114,1,前標
20,1042,114,2,前標
21,1042,114,3,前標
22,1042,114,4,
23,1042,114,5,
24,1052,114,0,
25,1052,114,1,均標
26,1052,114,2,
27,1052,114,3,
28,1052,114,4,均標
29,1052,114,5,
30,1062,114,0,前標
31,1062,114,1,前標
32,1062,114,2,均標
33,1062,114,3,均標
34,1062,114,4,均標
35,1062,114,5,
36,1072,114,0,前標
37,1072,114,1,前標
38,1072,114,2,均標
39,1072,114,3,均標
40,1072,114,4,前標
41,1072,114,5,
42,1092,114,0,
43,1092,114,1,前標
44,1092,114,2,頂標
45,1092,114,3,
46,1092,114,4,
47,1092,114,5,頂標
48,1102,114,0,均標
49,1102,114,1,均標
50,1102,114,2,前標
51,1102,114,3,
52,1102,114,4,
53,1102,114,5,前標
54,1112,114,0,均標
55,1112,114,1,均標
56,1112,114,2,均標
57,1112,114,3,
58,1112,114,4,
59,1112,114,5,均標
60,1122,114,0,均標
61,1122,114,1,均標
62,1122,114,2,均標
63,1122,114,3,
64,1122,114,4,
65,1122,114,5,均標
66,1132,114,0,均標
67,1132,114,1,均標
68,1132,114,2,均標
69,1132,114,3,
70,1132,114,4,
71,1132,114,5,均標
72,1142,114,0,
73,1142,114,1,均標
74,1142,114,2,均標
75,1142,114,3,
76,1142,114,4,均標
77,1142,114,5,
78,1152,114,0,均標
79,1152,114,1,均標
80,1152,114,2,均標
81,1152,114,3,
82,1152,114,4,
83,1152,114,5,均標
84,1162,114,0,前標
85,1162,114,1,前標
86,1162,114,2,均標
87,1162,114,3,均標
88,1162,114,4,前標
89,1162,114,5,
90,1172,114,0,前標
91,1172,114,1,前標
92,1172,114,2,均標
93,1172,114,3,均標
94,1172,114,4,前標
95,1172,114,5,
96,1182,114,0,前標
97,1182,114,1,前標
98,1182,114,2,均標
99,1182,114,3,均標
100,1182,114,4,前標
101,1182,114,5,
102,1192,114,0,
103,1192,114,1,前標
104,1192,114,2,前標
105,1192,114,3,
106,1192,114,4,
107,1192,114,5,
108,1202,114,0,
109,1202,114,1,前標
110,1202,114,2,前標
111,1202,114,3,
112,1202,114,4,
113,1202,114,5,
114,1212,114,0,
115,1212,114,1,前標
116,1212,114,2,前標
117,1212,114,3,
118,1212,114,4,
119,1212,114,5,
120,1222,114,0,前標
121,1222,114,1,前標
122,1222,114,2,
123,1222,114,3,均標
124,1222,114,4,前標
125,1222,114,5,
126,1232,114,0,均標
127,1232,114,1,均標
128,1232,114,2,
129,1232,114,3,均標
130,1232,114,4,均標
131,1232,114,5,
132,1242,114,0,頂標
133,1242,114,1,頂標
134,1242,114,2,頂標
135,1242,114,3,
136,1242,114,4,
137,1242,114,5,頂標
138,1252,114,0,頂標
139,1252,114,1,頂標
140,1252,114,2,頂標
141,1252,114,3,
142,1252,114,4,
143,1252,114,5,頂標
144,1262,114,0,前標
145,1262,114,1,頂標
146,1262,114,2,頂標
147,1262,114,3,
148,1262,114,4,
149,1262,114,5,頂標
150,1272,114,0,均標
151,1272,114,1,均標
152,1272,114,2,
153,1272,114,3,
154,1272,114,4,
155,1272,114,5,
156,1282,114,0,均標
157,1282,114,1,前標
158,1282,114,2,均標
159,1282,114,3,
160,1282,114,4,
161,1282,114,5,前標
162,1292,114,0,均標
163,1292,114,1,均標
164,1292,114,2,均標
165,1292,114,3,
166,1292,114,4,
167,1292,114,5,均標
168,1302,114,0,均標
169,1302,114,1,均標
170,1302,114,2,均標
171,1302,114,3,
172,1302,114,4,
173,1302,114,5,均標
174,1312,114,0,前標
175,1312,114,1,前標
176,1312,114,2,前標
177,1312,114,3,
178,1312,114,4,
179,1312,114,5,前標
180,1322,114,0,均標
181,1322,114,1,均標
182,1322,114,2,均標
183,1322,114,3,
184,1322,114,4,
185,1322,114,5,均標
186,1332,114,0,
187,1332,114,1,均標
188,1332,114,2,前標
189,1332,114,3,
190,1332,114,4,
191,1332,114,5,前標
192,1342,114,0,
193,1342,114,1,前標
194,1342,114,2,前標
195,1342,114,3,
196,1342,114,4,
197,1342,114,5,前標
198,1352,114,0,
199,1352,114,1,均標
200,1352,114,2,均標
201,1352,114,3,
202,1352,114,4,
203,1352,114,5,均標
204,1362,114,0,
205,1362,114,1,前標
206,1362,114,2,前標
207,1362,114,3,
208,1362,114,4,
209,1362,114,5,前標
210,1372,114,0,前標
211,1372,114,1,前標
212,1372,114,2,前標
213,1372,114,3,
214,1372,114,4,
215,1372,114,5,前標
216,1382,114,0,
217,1382,114,1,均標
218,1382,114,2,
219,1382,114,3,
220,1382,114,4,
221,1382,114,5,
222,1392,114,0,均標
223,1392,114,1,均標
224,1392,114,2,均標
225,1392,114,3,
226,1392,114,4,
227,1392,114,5,均標
228,1402,114,0,均標
229,1402,114,1,均標
230,1402,114,2,均標
231,1402,114,3,
232,1402,114,4,
233,1402,114,5,均標
234,1412,114,0,
235,1412,114,1,均標
236,1412,114,2,均標
237,1412,114,3,
238,1412,114,4,
239,1412,114,5,均標
240,1422,114,0,均標
241,1422,114,1,均標
242,1422,114,2,均標
243,1422,114,3,
244,1422,114,4,
245,1422,114,5,均標
246,1432,114,0,前標
247,1432,114,1,前標
248,1432,114,2,前標
249,1432,114,3,
250,1432,114,4,
251,1432,114,5,
252,1442,114,0,均標
253,1442,114,1,均標
254,1442,114,2,均標
255,1442,114,3,
256,1442,114,4,
257,1442,114,5,均標
258,1452,114,0,均標
259,1452,114,1,前標
260,1452,114,2,均標
261,1452,114,3,
262,1452,114,4,
263,1452,114,5,前標
264,1462,114,0,前標
265,1462,114,1,前標
266,1462,114,2,均標
267,1462,114,3,
268,1462,114,4,前標
269,1462,114,5,
270,1472,114,0,
271,1472,114,1,均標
272,1472,114,2,均標
273,1472,114,3,
274,1472,114,4,
275,1472,114,5,均標
276,1482,114,0,均標
277,1482,114,1,均標
278,1482,114,2,均標
279,1482,114,3,
280,1482,114,4,
281,1482,114,5,均標
282,1492,114,0,均標
283,1492,114,1,均標
284,1492,114,2,均標
285,1492,114,3,
286,1492,114,4,
287,1492,114,5,均標
288,1502,114,0,
289,1502,114,1,頂標
290,1502,114,2,前標
291,1502,114,3,
292,1502,114,4,
293,1502,114,5,
294,1512,114,0,
295,1512,114,1,頂標
296,1512,114,2,頂標
297,1512,114,3,
298,1512,114,4,
299,1512,114,5,
300,1522,114,0,頂標
301,1522,114,1,頂標
302,1522,114,2,頂標
303,1522,114,3,
304,1522,114,4,
305,1522,114,5,
306,1532,114,0,頂標
307,1532,114,1,頂標
308,1532,114,2,頂標
309,1532,114,3,
310,1532,114,4,
311,1532,114,5,
312,1542,114,0,
313,1542,114,1,頂標
314,1542,114,2,前標
315,1542,114,3,
316,1542,114,4,
317,1542,114,5,
318,1552,114,0,
319,1552,114,1,頂標
320,1552,114,2,頂標
321,1552,114,3,
322,1552,114,4,
323,1552,114,5,
324,1562,114,0,
325,1562,114,1,前標
326,1562,114,2,前標
327,1562,114,3,
328,1562,114,4,
329,1562,114,5,均標
330,1572,114,0,
331,1572,114,1,頂標
332,1572,114,2,頂標
333,1572,114,3,
334,1572,114,4,
335,1572,114,5,頂標
336,1582,114,0,
337,1582,114,1,頂標
338,1582,114,2,頂標
339,1582,114,3,
340,1582,114,4,
341,1582,114,5,頂標
342,1602,114,0,頂標
343,1602,114,1,頂標
344,1602,114,2,
345,1602,114,3,前標
346,1602,114,4,頂標
347,1602,114,5,
348,1612,114,0,頂標
349,1612,114,1,頂標
350,1612,114,2,
351,1612,114,3,前標
352,1612,114,4,頂標
353,1612,114,5,
354,1622,114,0,頂標
355,1622,114,1,頂標
356,1622,114,2,
357,1622,114,3,前標
358,1622,114,4,頂標
359,1622,114,5,
360,1632,114,0,前標
361,1632,114,1,
362,1632,114,2,前標
363,1632,114,3,
364,1632,114,4,
365,1632,114,5,
366,1642,114,0,均標
367,1642,114,1,均標
368,1642,114,2,均標
369,1642,114,3,
370,1642,114,4,
371,1642,114,5,均標
372,1652,114,0,均標
373,1652,114,1,均標
374,1652,114,2,
375,1652,114,3,均標
376,1652,114,4,均標
377,1652,114,5,
378,1662,114,0,前標
379,1662,114,1,前標
380,1662,114,2,
381,1662,114,3,均標
382,1662,114,4,均標
383,1662,114,5,
384,1672,114,0,
385,1672,114,1,前標
386,1672,114,2,前標
387,1672,114,3,
388,1672,114,4,均標
389,1672,114,5,
390,1682,114,0,均標
391,1682,114,1,均標
392,1682,114,2,前標
393,1682,114,3,
394,1682,114,4,
395,1682,114,5,前標
396,1692,114,0,前標
397,1692,114,1,前標
398,1692,114,2,前標
399,1692,114,3,
400,1692,114,4,
401,1692,114,5,前標
402,1702,114,0,均標
403,1702,114,1,均標
404,1702,114,2,前標
405,1702,114,3,
406,1702,114,4,
407,1702,114,5,前標
408,1712,114,0,前標
409,1712,114,1,前標
410,1712,114,2,前標
411,1712,114,3,
412,1712,114,4,均標
413,1712,114,5,
414,1722,114,0,均標
415,1722,114,1,均標
416,1722,114,2,均標
417,1722,114,3,
418,1722,114,4,
419,1722,114,5,均標
420,1732,114,0,頂標
421,1732,114,1,頂標
422,1732,114,2,頂標
423,1732,114,3,
424,1732,114,4,
425,1732,114,5,頂標
426,2012,114,0,前標
427,2012,114,1,前標
428,2012,114,2,
429,2012,114,3,均標
430,2012,114,4,均標
431,2012,114,5,
432,2022,114,0,前標
433,2022,114,1,前標
434,2022,114,2,
435,2022,114,3,均標
436,2022,114,4,均標
437,2022,114,5,
438,2032,114,0,前標
439,2032,114,1,前標
440,2032,114,2,
441,2032,114,3,均標
442,2032,114,4,前標
443,2032,114,5,
444,2042,114,0,前標
445,2042,114,1,前標
446,2042,114,2,
447,2042,114,3,
448,2042,114,4,
449,2042,114,5,
450,2052,114,0,均標
451,2052,114,1,均標
452,2052,114,2,
453,2052,114,3,
454,2052,114,4,
455,2052,114,5,
456,2062,114,0,均標
457,2062,114,1,均標
458,2062,114,2,
459,2062,114,3,均標
460,2062,114,4,均標
461,2062,114,5,
462,2072,114,0,均標
463,2072,114,1,均標
464,2072,114,2,
465,2072,114,3,
466,2072,114,4,
467,2072,114,5,
468,2082,114,0,均標
469,2082,114,1,均標
470,2082,114,2,
471,2082,114,3,均標
472,2082,114,4,前標
473,2082,114,5,
474,2112,114,0,均標
475,2112,114,1,均標
476,2112,114,2,
477,2112,114,3,
478,2112,114,4,
479,2112,114,5,
480,2122,114,0,均標
481,2122,114,1,均標
482,2122,114,2,
483,2122,114,3,
484,2122,114,4,
485,2122,114,5,
486,2132,114,0,均標
487,2132,114,1,均標
488,2132,114,2,均標
489,2132,114,3,
490,2132,114,4,
491,2132,114,5,
492,2152,114,0,均標
493,2152,114,1,前標
494,2152,114,2,均標
495,2152,114,3,均標
496,2152,114,4,
497,2152,114,5,
498,2162,114,0,均標
499,2162,114,1,均標
500,2162,114,2,
501,2162,114,3,
502,2162,114,4,
503,2162,114,5,
504,2172,114,0,前標
505,2172,114,1,前標
506,2172,114,2,
507,2172,114,3,
508,2172,114,4,前標
509,2172,114,5,
510,2192,114,0,
511,2192,114,1,頂標
512,2192,114,2,
513,2192,114,3,
514,2192,114,4,
515,2192,114,5,
516,2202,114,0,前標
517,2202,114,1,前標
518,2202,114,2,
519,2202,114,3,
