record_id,dept_id,exam_year,has_extra_screen,lowest_total
0,001012,114,1,國=15
1,001022,114,1,英=15
2,001032,114,1,社=14
3,001042,114,1,英=14
4,001052,114,1,國+英+數B+社=53
5,001062,114,1,國+英+社=40
6,001072,114,1,國+英+社=41
7,001092,114,1,數A=14
8,001102,114,1,數A=15
9,001112,114,1,自=14
10,001122,114,1,國+英+數A+自=47
11,001132,114,1,英+數A+自=41
12,001142,114,1,英+數A+社=33
13,001152,114,1,國+英+數A+自=43
14,001162,114,1,國+社=28
15,001172,114,1,國+社=29
16,001182,114,1,國+社=28
17,001192,114,1,社+自=26
18,001202,114,1,英=13
19,001212,114,1,社=12
20,001222,114,1,國+英+社=42
21,001232,114,1,國+數B+社=38
22,001242,114,1,國+英+數A+自=58
23,001252,114,1,國+英+數A+自=55
24,001262,114,1,國+英+數A+自=59
25,001272,114,1,數A+自=28
26,001282,114,1,自=14
27,001292,114,1,自=13
28,001302,114,1,英+數A+自=41
29,001312,114,1,數A+自=24
30,001322,114,1,國+英+數A+自=51
31,001332,114,1,英+數A+自=41
32,001342,114,1,數A+自=27
33,001352,114,1,英+數A+自=23
34,001362,114,1,自=15
35,001372,114,1,英+數A+自=41
36,001382,114,1,英+數A=23
37,001392,114,1,自=13
38,001402,114,1,國+英+數A+自=40
39,001412,114,1,自=14
40,001422,114,1,國+英+數A=33
41,001432,114,1,英=14
42,001442,114,1,英=13
43,001452,114,1,國+英+數A+自=53
44,001462,114,0,國+英+數A+社=44
45,001472,114,1,數A+自=26
46,001482,114,1,英+數A+自=32
47,001492,114,1,英=14
48,001502,114,1,國+英+數A+社=52
49,001512,114,1,國+英+數A+自=52
50,001522,114,1,國+英+數A=38
51,001532,114,1,國+英+數A=40
52,001542,114,1,國+英+數A+社=51
53,001552,114,1,國+英+數A+自=53
54,001562,114,1,英+數A+自=38
55,001572,114,1,英+數A+自=44
56,001582,114,1,英+自=26
57,001602,114,1,國+英=30
58,001612,114,1,國+英=30
59,001622,114,1,國+英=30
60,001632,114,1,國+英+數A+自=49
61,001642,114,1,自=14
62,001652,114,1,國=13
63,001662,114,0,國+英+數B+社=43
64,001672,114,0,英+數A+社=34
65,001682,114,0,國+英+數A+自=41
66,001692,114,0,國+英+數A+自=45
67,001702,114,0,國+英+數A+自=45
68,001712,114,0,國+英+數A+社=44
69,001722,114,1,國+英+數A+自=38
70,001732,114,0,國+英+數A+自=56
71,002012,114,1,國+英+數B+社=51
72,002022,114,1,國+英+數B+社=54
73,002032,114,1,國+社=26
74,002052,114,1,國+英=25
75,002062,114,1,國+英+數B+社=47
76,002072,114,1,國+英+數B+社=46
77,002082,114,1,國+英+數B+社=47
78,002112,114,1,國+英=25
79,002122,114,0,國+英=19
80,002132,114,1,國=12
81,002152,114,1,國+英=21
82,002172,114,1,國+英+社=37
83,002192,114,1,英=14
84,002202,114,1,國+英+社=36
85,002212,114,1,社=11
86,002232,114,1,國=13
87,002242,114,1,英+數A+自=31
88,002252,114,1,自=13
89,002262,114,1,自=10
90,002282,114,1,自=13
91,002302,114,1,國+英+數A+自=42
92,002322,114,1,自=13
93,002332,114,1,數A=12
94,002362,114,1,國+英+數A+自=42
95,002372,114,1,自=12
96,002382,114,1,國=12
97,002392,114,1,國+英+數A+自=49
98,002402,114,1,英+自=25
99,002412,114,1,英+數A=22
100,002432,114,1,國=13
101,002442,114,1,英=12
102,002452,114,1,英=14
103,002462,114,1,國+英+數B=36
104,002472,114,1,國=9
105,002482,114,1,自=10
106,002492,114,1,自=12
107,002502,114,0,國=10
108,002512,114,1,國=11
109,002542,114,1,國+英=22
110,003012,114,1,國=13
111,003022,114,1,英=14
112,003032,114,1,國+英=21
113,003042,114,1,國=12
114,003052,114,1,國+英+數A+社=45
115,003062,114,1,國+社=25
116,003072,114,1,國+英+自=34
117,003092,114,1,國+英+數A+社=43
118,003102,114,1,國=13
119,003112,114,1,國+英+數A=31
120,003122,114,1,社=14
121,003132,114,1,自=13
122,003142,114,1,英=12
123,003152,114,1,英=13
124,003162,114,1,數A=11
125,003172,114,1,英=11
126,003182,114,1,英+數A+自=31
127,003192,114,1,數A+自=24
128,003202,114,1,英+數A+自=34
129,003212,114,1,數A+自=23
130,003222,114,1,英=13
131,003232,114,1,數A+自=24
132,003242,114,1,英+數A=20
133,003252,114,1,英+數A+自=40
134,003262,114,1,英+數A+自=37
135,003292,114,1,數A+自=26
136,003302,114,1,英+自=18
137,003312,114,1,國+英+數A+自=44
138,003322,114,1,英+自=24
139,003332,114,1,國+英+自=28
140,003342,114,1,自=12
141,003352,114,1,自=12
142,003362,114,1,自=11
143,003372,114,1,國+英+數A+自=45
144,003382,114,1,英+自=21
145,003392,114,1,國+英+數A=32
146,003402,114,1,自=12
147,003412,114,1,國+英+自=37
148,003422,114,1,國+英=23
149,003432,114,0,英=11
150,003442,114,1,自=13
151,003452,114,1,英+數A+自=39
152,003462,114,1,國+英=21
153,003472,114,0,國+英+社=30
154,003482,114,0,英+數A+自=25
155,003492,114,1,英+數A+自=30
156,003502,114,0,英+自=19
157,003512,114,0,英+數A+自=23
158,004012,114,1,英+社=22
159,004022,114,1,國+英+社=39
160,004032,114,1,社=14
161,004042,114,1,國=13
162,004052,114,1,英+數A+自=34
163,004062,114,1,數A+自=25
164,004072,114,1,自=14
165,004082,114,1,數A=10
166,004092,114,1,國+英+數A+自=43
167,004102,114,1,國+英+數A+自=50
168,004112,114,1,國+英+數A+自=51
169,004122,114,1,英+數A+自=39
170,004132,114,1,英+數A+自=40
171,004142,114,1,國+英+數A+自=48
172,004152,114,1,國+英+數A+自=49
173,004172,114,1,自=12
174,004192,114,1,國+英+數A+自=43
175,004202,114,1,國+英+自=38
176,004212,114,1,國+英+數A+自=52
177,004222,114,1,國+英+數A+自=49
178,004232,114,1,國+英+數A+自=47
179,004252,114,1,國+英+數A+自=48
180,004272,114,1,英+數A+自=39
181,004282,114,1,國+英+數A=38
182,004292,114,1,國+自=22
183,004302,114,1,英=12
184,004312,114,1,國+英+數B+社=45
185,004322,114,1,英+數B=27
186,004332,114,1,國+英+數A+自=58
187,004342,114,1,國+英+數A+自=55
188,004352,114,1,國+英+數A+自=59
189,004362,114,1,國+英+數A+自=46
190,004372,114,1,國=13
191,004382,114,1,國+英+數A+自=52
192,004392,114,1,國+英+數A+自=49
193,004402,114,1,國+英+數A+自=55
194,004412,114,1,國=13
195,004422,114,1,國=13
196,004432,114,1,英=14
197,004452,114,1,英+數A+自=39
198,004472,114,1,英+數A+自=42
199,004482,114,1,英+數A+自=42
200,004492,114,1,英+數A+自=42
201,004502,114,1,英+數A=27
202,004512,114,1,英+數A+自=40
203,004522,114,1,國+英+數A+自=50
204,004532,114,1,國+英=23
205,004542,114,1,國+英+數A+自=49
206,004552,114,1,自=13
207,004562,114,1,國=13
208,004592,114,1,國+英=24
209,004612,114,0,國=11
210,004622,114,0,英=8
211,004632,114,0,自=9
212,004642,114,1,自=9
213,004652,114,1,自=10
214,005012,114,1,國=11
215,005022,114,1,社=13
216,005032,114,1,國=10
217,005042,114,1,國+英+社=33
218,005052,114,1,社=13
219,005062,114,1,國+英+社=29
220,005072,114,1,國+英=22
221,005082,114,1,國+英+社=32
222,005092,114,1,英=10
223,005102,114,1,數A=8
224,005112,114,1,英+數A=10
225,005122,114,1,自=11
226,005132,114,1,英=9
227,005142,114,1,國+英+數A=30
228,005152,114,1,國=12
229,005162,114,1,數B=9
230,005172,114,1,國+英+數B=31
231,005182,114,1,國+英+數B=28
232,005192,114,1,國=11
233,005202,114,1,英=8
234,005242,114,1,英+數B=17
235,006012,114,1,國=14
236,006022,114,1,社=14
237,006032,114,1,國+英+數B+社=46
238,006042,114,1,國+英+數B+社=50
239,006052,114,1,英+社=25
240,006062,114,1,英+社=27
241,006072,114,1,國+英+數A=32
242,006082,114,1,社=13
243,006092,114,1,國+英+數A+社=47
244,006102,114,1,國+英+數A+社=48
245,006112,114,0,國+英+數A+自=44
246,006122,114,1,數A+社=23
247,006132,114,0,國+英+數B+社=40
248,006142,114,1,國+英+社=43
249,006152,114,1,國+英+數A+社=43
250,006162,114,1,國+英+數A=39
251,006172,114,0,國+英+數A+社=44
252,006182,114,1,國+英+數A+社=49
253,006192,114,0,國+英+數A+自=48
254,006202,114,1,國+社=27
255,006212,114,1,國=13
256,006222,114,1,國+英+數A=38
257,006232,114,1,國+英+數A+社=51
258,006242,114,1,國+英+數B+社=51
259,006252,114,1,國+英+數A+自=47
260,006262,114,1,國+英+數B+社=31
261,006272,114,1,英=13
262,006282,114,1,社=12
263,006292,114,1,國=14
264,006302,114,1,英+社=23
265,006312,114,1,社=13
266,006322,114,1,英=13
267,006332,114,1,英=14
268,006342,114,1,英=14
269,006352,114,0,國+英=23
270,006362,114,0,國+英=23
271,006372,114,1,國+英=25
272,006382,114,1,國+英+數B+社=54
273,006392,114,1,數A+自=25
274,006402,114,1,國=14
275,006412,114,1,國+英+數A+自=50
276,006442,114,0,國+英+數A+自=35
277,006452,114,1,數B+社=24
278,006462,114,0,國+英+社=30
279,006472,114,0,國+英+數A=26
280,007012,114,1,英+自=30
281,007022,114,1,英+自=22
282,007032,114,1,自=12
283,007042,114,1,國+英+數A=42
284,007052,114,1,國=10
285,007072,114,1,自=14
286,007082,114,1,國+英+數A+自=38
287,007092,114,1,英=9
288,007102,114,1,英=8
289,007112,114,1,英+自=26
290,007122,114,1,英=11
291,007132,114,1,國+英=26
292,007142,114,1,自=13
293,007152,114,1,國+英=22
294,007172,114,1,自=11
295,007182,114,1,英=11
296,007192,114,1,自=11
297,007202,114,1,英+自=22
298,007222,114,1,英=13
299,007232,114,1,國=10
300,007242,114,1,國+英=26
301,007252,114,1,英=14
302,007262,114,1,自=13
303,007282,114,1,國+自=23
