dept_id,univ_id,department,學群,學類,category_id
001012,001,中國文學系,文史哲學群,中國語文學類,1304
001022,001,外國語文學系,外語學群,英語文學類,1201
001032,001,歷史學系,文史哲學群,歷史學類,1305
001042,001,哲學系,文史哲學群,哲學學類,1306
001052,001,人類學系,社會與心理學群,人類/民族學學類,1004
001062,001,圖書資訊學系,文史哲學群,圖書資訊學類,1301
001072,001,日本語文學系,外語學群,日語文學類,1203
001082,001,戲劇學系,藝術學群,表演藝術學類,0903
001092,001,數學系,數理化學群,數學學類,0301
001102,001,物理學系,數理化學群,物理學類,0303
001112,001,化學系,數理化學群,化學學類,0302
001122,001,地質科學系,地球與環境學群,地質地球與環境科學學類,0703
001132,001,心理學系,社會與心理學群,心理學類,1001
001142,001,地理環境資源學系,地球與環境學群,地理學類,0704
001152,001,大氣科學系,地球與環境學群,大氣科學學類,0706
001162,001,政治學系政治理論組,法政學群,政治學類,1504
001172,001,政治學系國際關係組,法政學群,政治學類,1504
001182,001,政治學系公共行政組,法政學群,行政管理學類,1505
001192,001,經濟學系A組,財經學群,經濟學類,1707
001202,001,經濟學系B組,財經學群,經濟學類,1707
001212,001,經濟學系C組,財經學群,經濟學類,1707
001222,001,社會學系,社會與心理學群,社會學學類,1002
001232,001,社會工作學系,社會與心理學群,社會工作學類,1003
001242,001,醫學系,醫藥衛生學群,醫學學類,0401
001252,001,醫學系(公費生),醫藥衛生學群,醫學學類,0401
001262,001,牙醫學系,醫藥衛生學群,牙醫學類,0403
001272,001,藥學系,醫藥衛生學群,藥學學類,0409
001282,001,醫學檢驗暨生物技術學系,醫藥衛生學群,醫學檢驗暨生物技術學類,0407
001292,001,護理學系,醫藥衛生學群,護理學類,0406
001302,001,物理治療學系,醫藥衛生學群,物理治療學類,0404
001312,001,職能治療學系,醫藥衛生學群,職能治療學類,0405
001322,001,土木工程學系,工程學群,土木工程學類,0208
001332,001,機械工程學系,工程學群,機械工程學類,0206
001342,001,化學工程學系,工程學群,化學工程學類,0210
001352,001,工程科學及海洋工程學系,工程學群,工程科學學類,0205
001362,001,材料科學與工程學系,工程學群,材料工程學類,0211
001372,001,醫學工程學系,工程學群,生醫/醫學工程學類,0212
001382,001,農藝學系,生物資源學群,農藝學類,0604
001392,001,生物環境系統工程學系,生物資源學群,森林學類,0607
001402,001,農業化學系,生物資源學群,農藝學類,0604
001412,001,森林環境暨資源學系,生物資源學群,森林學類,0607
001422,001,動物科學技術學系,生物資源學群,動物科學學類,0605
001432,001,農業經濟學系,財經學群,經濟學類,1707
001442,001,園藝暨景觀學系,生物資源學群,園藝學類,0606
001452,001,獸醫學系,醫藥衛生學群,獸醫學類,0415
001462,001,生物產業傳播暨發展學系,管理學群,文化與產業學類,1605
001472,001,生物機電工程學系,工程學群,工程科學學類,0205
001482,001,昆蟲學系,生物資源學群,植物保護與昆蟲學類,0602
001492,001,植物病理與微生物學系,生物資源學群,植物保護與昆蟲學類,0602
001502,001,工商管理學系企業管理組,管理學群,企業管理學類,1608
001512,001,工商管理學系科技管理組,管理學群,企業管理學類,1608
001522,001,會計學系,財經學群,會計學類,1702
001532,001,財務金融學系,財經學群,財務金融學類,1703
001542,001,國際企業學系,財經學群,國際企業學類,1704
001552,001,資訊管理學系,管理學群,資訊管理學類,1601
001562,001,公共衛生學系,醫藥衛生學群,公共衛生學類,0402
001572,001,電機工程學系,工程學群,電機工程學類,0201
001582,001,資訊工程學系,資訊學群,資訊工程學類,0101
001592,001,資訊工程學系(APCS組),資訊學群,資訊工程學類,0101
001602,001,法律學系法學組,法政學群,法律學類,1502
001612,001,法律學系司法組,法政學群,法律學類,1502
001622,001,法律學系財經法學組,法政學群,財經法律學類,1503
001632,001,生命科學系,生命科學學群,生命科學學類,0504
001642,001,生化科技學系,生命科學學群,生化學類,0503
001652,001,國際體育運動事務學士學位學程,遊憩與運動學群,體育學類,1802
001662,001,希望組甲組(文社法),不分系學群,不分系學類,1901
001672,001,希望組乙組(地理及生傳),不分系學群,不分系學類,1901
001682,001,希望組丙組(理),不分系學群,不分系學類,1901
001692,001,希望組丁組(生醫),不分系學群,不分系學類,1901
001702,001,希望組戊組(工電資),不分系學群,不分系學類,1901
001712,001,希望組己組(經管),不分系學群,不分系學類,1901
001722,001,希望組庚組(生農),不分系學群,不分系學類,1901
001732,001,希望組辛組(醫牙),不分系學群,不分系學類,1901
002012,002,教育學系,教育學群,教育學類,1407
002022,002,教育心理與輔導學系,教育學群,輔導與諮商學類,1404
002032,002,社會教育學系,教育學群,社會科教育學類,1411
