req_id,dept_id,exam_year,subject_id,require_level
0,001012,115,0,前標
1,001012,115,1,均標
2,001012,115,2,均標
3,001012,115,3,均標
4,001012,115,4,均標
5,001012,115,5,
6,001022,115,0,前標
7,001022,115,1,頂標
8,001022,115,2,均標
9,001022,115,3,均標
10,001022,115,4,前標
11,001022,115,5,
12,001032,115,0,前標
13,001032,115,1,前標
14,001032,115,2,均標
15,001032,115,3,均標
16,001032,115,4,前標
17,001032,115,5,
18,001042,115,0,前標
19,001042,115,1,前標
20,001042,115,2,前標
21,001042,115,3,前標
22,001042,115,4,
23,001042,115,5,
24,001052,115,0,
25,001052,115,1,均標
26,001052,115,2,
27,001052,115,3,
28,001052,115,4,均標
29,001052,115,5,
30,001062,115,0,前標
31,001062,115,1,前標
32,001062,115,2,均標
33,001062,115,3,均標
34,001062,115,4,均標
35,001062,115,5,
36,001072,115,0,前標
37,001072,115,1,前標
38,001072,115,2,均標
39,001072,115,3,均標
40,001072,115,4,前標
41,001072,115,5,
42,001082,115,0,前標
43,001082,115,1,前標
44,001082,115,2,
45,001082,115,3,均標
46,001082,115,4,均標
47,001082,115,5,
48,001092,115,0,
49,001092,115,1,
50,001092,115,2,
51,001092,115,3,
52,001092,115,4,
53,001092,115,5,
54,001102,115,0,均標
55,001102,115,1,均標
56,001102,115,2,前標
57,001102,115,3,
58,001102,115,4,
59,001102,115,5,前標
60,001112,115,0,均標
61,001112,115,1,均標
62,001112,115,2,均標
63,001112,115,3,
64,001112,115,4,
65,001112,115,5,均標
66,001122,115,0,均標
67,001122,115,1,均標
68,001122,115,2,均標
69,001122,115,3,
70,001122,115,4,
71,001122,115,5,均標
72,001132,115,0,均標
73,001132,115,1,均標
74,001132,115,2,均標
75,001132,115,3,
76,001132,115,4,
77,001132,115,5,均標
78,001142,115,0,
79,001142,115,1,
80,001142,115,2,
81,001142,115,3,
82,001142,115,4,
83,001142,115,5,
84,001152,115,0,均標
85,001152,115,1,均標
86,001152,115,2,均標
87,001152,115,3,
88,001152,115,4,
89,001152,115,5,均標
90,001162,115,0,前標
91,001162,115,1,前標
92,001162,115,2,均標
93,001162,115,3,前標
94,001162,115,4,前標
95,001162,115,5,
96,001172,115,0,前標
97,001172,115,1,前標
98,001172,115,2,均標
99,001172,115,3,前標
100,001172,115,4,前標
101,001172,115,5,
102,001182,115,0,前標
103,001182,115,1,前標
104,001182,115,2,均標
105,001182,115,3,前標
106,001182,115,4,前標
107,001182,115,5,
108,001192,115,0,
109,001192,115,1,
110,001192,115,2,
111,001192,115,3,
112,001192,115,4,
113,001192,115,5,
114,001202,115,0,
115,001202,115,1,
116,001202,115,2,
117,001202,115,3,
118,001202,115,4,
119,001202,115,5,
120,001212,115,0,
121,001212,115,1,
122,001212,115,2,
123,001212,115,3,
124,001212,115,4,
125,001212,115,5,
126,001222,115,0,前標
127,001222,115,1,前標
128,001222,115,2,均標
129,001222,115,3,
130,001222,115,4,前標
131,001222,115,5,
132,001232,115,0,均標
133,001232,115,1,均標
134,001232,115,2,
135,001232,115,3,均標
136,001232,115,4,均標
137,001232,115,5,
138,001242,115,0,
139,001242,115,1,
140,001242,115,2,
141,001242,115,3,
142,001242,115,4,
143,001242,115,5,
144,001252,115,0,
145,001252,115,1,
146,001252,115,2,
147,001252,115,3,
148,001252,115,4,
149,001252,115,5,
150,001262,115,0,前標
151,001262,115,1,頂標
152,001262,115,2,頂標
153,001262,115,3,
154,001262,115,4,
155,001262,115,5,頂標
156,001272,115,0,均標
157,001272,115,1,均標
158,001272,115,2,
159,001272,115,3,
160,001272,115,4,
161,001272,115,5,
162,001282,115,0,均標
163,001282,115,1,前標
