std_id,exam_year,subject_id,top,high,avg,low,bottom
111_0,111,0,13,12,10,9,7
111_1,111,1,13,12,8,5,4
111_2,111,2,10,8,6,4,3
111_3,111,3,13,11,8,4,3
111_4,111,4,13,12,11,9,7
111_5,111,5,14,12,10,7,5
112_0,112,0,13,12,11,9,8
112_1,112,1,13,11,8,5,4
112_2,112,2,11,9,7,5,4
112_3,112,3,12,10,7,4,3
112_4,112,4,12,11,9,8,6
112_5,112,5,13,11,9,6,5
113_0,113,0,13,12,11,9,8
113_1,113,1,13,11,8,5,3
113_2,113,2,12,10,7,5,3
113_3,113,3,12,9,6,4,3
113_4,113,4,13,12,10,8,6
113_5,113,5,13,12,9,6,5
114_0,114,0,13,12,10,9,7
114_1,114,1,13,11,8,4,3
114_2,114,2,11,9,6,4,3
114_3,114,3,12,10,6,4,3
114_4,114,4,13,12,10,8,7
114_5,114,5,13,12,9,7,5
