subject_id,subject_name
0,國文
1,英文
2,數學A
3,數學B
4,社會
5,自然
6,國文+英文
7,國文+數學A
8,國文+數學B
9,國文+社會
10,國文+自然
11,英文+數學A
12,英文+數學B
13,英文+社會
14,英文+自然
15,數學A+數學B
16,數學A+社會
17,數學A+自然
18,數學B+社會
19,數學B+自然
20,社會+自然
21,國文+英文+數學A
22,國文+英文+數學B
23,國文+英文+社會
24,國文+英文+自然
25,國文+數學A+數學B
26,國文+數學A+社會
27,國文+數學A+自然
28,國文+數學B+社會
29,國文+數學B+自然
30,國文+社會+自然
31,英文+數學A+數學B
32,英文+數學A+社會
33,英文+數學A+自然
34,英文+數學B+社會
35,英文+數學B+自然
36,英文+社會+自然
37,數學A+數學B+社會
38,數學A+數學B+自然
39,數學A+社會+自然
40,數學B+社會+自然
41,國文+英文+數學A+數學B
42,國文+英文+數學A+社會
43,國文+英文+數學A+自然
44,國文+英文+數學B+社會
45,國文+英文+數學B+自然
46,國文+英文+社會+自然
47,國文+數學A+數學B+社會
48,國文+數學A+數學B+自然
49,國文+數學A+社會+自然
50,國文+數學B+社會+自然
51,英文+數學A+數學B+社會
52,英文+數學A+數學B+自然
53,英文+數學A+社會+自然
54,英文+數學B+社會+自然
55,數學A+數學B+社會+自然
56,國文+英文+數學A+數學B+社會
57,國文+英文+數學A+數學B+自然
58,國文+英文+數學A+社會+自然
59,國文+英文+數學B+社會+自然
60,國文+數學A+數學B+社會+自然
61,英文+數學A+數學B+社會+自然
62,國文+英文+數學A+數學B+社會+自然
