perf_id,exam_year,subject_id,level,percentile,min_score,max_score
1,114,0,15,2.32,73.07,100.00
2,114,0,14,7.76,67.85,73.07
3,114,0,13,17.82,62.63,67.85
4,114,0,12,31.89,57.41,62.63
5,114,0,11,47.54,52.19,57.41
6,114,0,10,62.92,46.97,52.19
7,114,0,9,75.38,41.75,46.97
8,114,0,8,84.29,36.54,41.75
9,114,0,7,90.39,31.32,36.54
10,114,0,6,94.35,26.10,31.32
11,114,0,5,96.78,20.88,26.10
12,114,0,4,98.28,15.66,20.88
13,114,0,3,99.33,10.44,15.66
14,114,0,2,99.96,5.22,10.44
15,114,0,1,99.99,0.00,5.22
16,114,0,0,100.00,0.00,0.00
17,114,1,15,3.29,85.61,100.00
18,114,1,14,8.85,79.50,85.61
19,114,1,13,15.71,73.38,79.50
20,114,1,12,23.15,67.27,73.38
21,114,1,11,30.46,61.15,67.27
22,114,1,10,37.55,55.04,61.15
23,114,1,9,44.59,48.92,55.04
24,114,1,8,51.39,42.81,48.92
25,114,1,7,58.34,36.69,42.81
26,114,1,6,65.83,30.58,36.69
27,114,1,5,74.58,24.46,30.58
28,114,1,4,84.78,18.35,24.46
29,114,1,3,95.60,12.23,18.35
30,114,1,2,99.79,6.12,12.23
31,114,1,1,99.99,0.00,6.12
32,114,1,0,100.00,0.00,0.00
33,114,2,15,1.35,89.25,100.00
34,114,2,14,2.99,82.87,89.25
35,114,2,13,5.64,76.50,82.87
36,114,2,12,9.37,70.12,76.50
37,114,2,11,14.30,63.75,70.12
38,114,2,10,20.20,57.37,63.75
39,114,2,9,27.47,51.00,57.37
40,114,2,8,37.40,44.62,51.00
41,114,2,7,46.99,38.25,44.62
42,114,2,6,57.77,31.87,38.25
43,114,2,5,69.78,25.50,31.87
44,114,2,4,82.03,19.12,25.50
45,114,2,3,92.60,12.75,19.12
46,114,2,2,98.44,6.37,12.75
47,114,2,1,99.96,0.00,6.37
48,114,2,0,100.00,0.00,0.00
49,114,3,15,1.43,89.33,100.00
50,114,3,14,4.03,82.95,89.33
51,114,3,13,7.76,76.57,82.95
52,114,3,12,12.76,70.19,76.57
53,114,3,11,19.59,63.81,70.19
54,114,3,10,26.25,57.43,63.81
55,114,3,9,33.02,51.05,57.43
56,114,3,8,39.98,44.66,51.05
