dept_id,學校/科系
001082,國立臺灣大學/戲劇學系
001592,國立臺灣大學/資訊工程學系(APCS組)
002342,國立臺灣師範大學/資訊工程學系(APCS組)
002352,國立臺灣師範大學/資訊工程學系(資安組)
002532,國立臺灣師範大學/音樂學系
002552,國立臺灣師範大學/設計學系視覺設計組
002562,國立臺灣師範大學/美術學系繪畫組
002572,國立臺灣師範大學/美術學系水墨畫組
002582,國立臺灣師範大學/體育與運動科學系
003082,國立中興大學/資訊管理學系(APCS組)
003272,國立中興大學/資訊工程學系(APCS組)
003282,國立中興大學/資訊工程學系(資安組)
004582,國立成功大學/生物科技與產業科學系(APCS組)
005232,東吳大學/資訊管理學系(APCS組)
005252,東吳大學/音樂學系
006432,國立政治大學/資訊科學系(APCS組)
007162,高雄醫學大學/醫務管理暨醫療資訊學系(APCS組)
008432,中原大學/商業設計學系產品設計組甲類
009182,東海大學/資訊工程學系(APCS組)
009432,東海大學/音樂學系(演奏唱組)
009452,東海大學/美術學系
011382,國立清華大學/資訊工程學系(APCS組)
011392,國立清華大學/資訊工程學系(資安組)
011552,國立清華大學/音樂學系
011562,國立清華大學/藝術與設計學系創作組
013082,國立陽明交通大學/資訊工程學系(APCS組)
013092,國立陽明交通大學/資訊工程學系(資安組)
014492,淡江大學/資訊工程學系(APCS組)
014502,淡江大學/電機工程學系(APCS組)
014512,淡江大學/人工智慧學系(APCS組)
014522,淡江大學/資訊管理學系(APCS組)
015262,逢甲大學/資訊工程學系(APCS組)
015272,逢甲大學/資訊工程學系(資安組)
016202,國立中央大學/資訊管理學系(APCS組)
016252,國立中央大學/資訊工程學系(APCS組)
016262,國立中央大學/資訊工程學系(資安組)
017542,中國文化大學/美術學系
018232,靜宜大學/資訊管理學系(APCS組)
018262,靜宜大學/資訊工程學系(APCS組)
018302,靜宜大學/人工智慧應用學系(APCS組)
020242,輔仁大學/資訊工程學系(APCS組)
020292,輔仁大學/電機工程學系(APCS組)
020312,輔仁大學/醫學資訊與創新應用學士學位學程(APCS組)
020342,輔仁大學/人工智慧與資訊安全學士學位學程(APCS組)
020552,輔仁大學/資訊管理學系(APCS組)
020672,輔仁大學/音樂學系器樂組
020702,輔仁大學/應用美術學系
021232,國立臺灣海洋大學/資訊工程學系(APCS組)
022192,國立高雄師範大學/軟體工程與管理學系(APCS組)
022202,國立高雄師範大學/軟體工程與管理學系(資安組)
022212,國立高雄師範大學/音樂學系
022222,國立高雄師範大學/美術學系
022232,國立高雄師範大學/視覺設計學系
022242,國立高雄師範大學/體育學系
023172,國立彰化師範大學/資訊工程學系(APCS組)
023292,國立彰化師範大學/美術學系
023312,國立彰化師範大學/運動學系(運動健康組)
026252,中山醫學大學/醫學資訊學系(APCS組)
027032,國立中山大學/劇場藝術學系
027142,國立中山大學/電機工程學系(APCS組)
027442,國立中山大學/音樂學系
027452,國立中山大學/音樂學系創作與應用組
031222,國立臺中教育大學/音樂學系（A組）
031242,國立臺中教育大學/美術學系
031252,國立臺中教育大學/體育學系運動專長組
032242,國立臺北教育大學/數學暨資訊教育學系人工智慧與資訊教育組(APCS組)
032322,國立臺北教育大學/數位科技設計學系(APCS組)
032342,國立臺北教育大學/藝術與造形設計學系藝術組
032352,國立臺北教育大學/體育學系
032362,國立臺北教育大學/體育學系（雙語教學組）
033172,國立臺南大學/資訊工程學系(APCS組)
033222,國立臺南大學/戲劇創作與應用學系
033252,國立臺南大學/音樂學系(A組)
033272,國立臺南大學/視覺藝術與設計學系
033282,國立臺南大學/體育學系
034082,國立東華大學/資訊工程學系資工組(APCS組)
034512,國立東華大學/藝術與設計學系
034532,國立東華大學/體育與運動科學系
035172,臺北市立大學/資訊科學系（APCS組）
035242,臺北市立大學/音樂學系
035252,臺北市立大學/視覺藝術學系
035262,臺北市立大學/體育學系
036362,國立屏東大學/音樂學系A組
036382,國立屏東大學/視覺藝術學系美術組
038192,國立臺東大學/音樂學系(A組)
038222,國立臺東大學/美術產業學系
039092,國立體育大學/運動保健學系(體育術科組)
040182,元智大學/資訊工程學系(APCS組)
040252,元智大學/電機工程學系(甲組)(APCS組)
040292,元智大學/藝術與設計學系(藝術與設計組)
040302,元智大學/資訊傳播學系(數位媒體設計_美術組)
041272,國立中正大學/資訊管理學系(APCS組)
042052,大葉大學/電機工程學系(APCS組)
042092,大葉大學/資訊工程學系(APCS組)
044112,華梵大學/美術與文創學系美術創作組
045052,義守大學/資訊工程學系(APCS組)
050382,實踐大學/資訊科技與管理學系(APCS組)(臺北校區)
050752,實踐大學/音樂學系(臺北校區)
051552,長榮大學/資訊工程學系(APCS組)
051572,長榮大學/美術學系應用藝術組
051582,長榮大學/書畫藝術學系甲組
056042,國立臺灣藝術大學/戲劇學系
056052,國立臺灣藝術大學/音樂學系
056062,國立臺灣藝術大學/中國音樂學系作曲組
056072,國立臺灣藝術大學/中國音樂學系聲樂組
056082,國立臺灣藝術大學/中國音樂學系管樂組
056092,國立臺灣藝術大學/中國音樂學系彈弦組
056102,國立臺灣藝術大學/中國音樂學系撥弦組
056112,國立臺灣藝術大學/中國音樂學系擦弦組（一）–胡琴
056122,國立臺灣藝術大學/中國音樂學系擦弦組（二）–低音擦弦
056132,國立臺灣藝術大學/中國音樂學系擊樂組
056142,國立臺灣藝術大學/美術學系
056152,國立臺灣藝術大學/書畫藝術學系
056162,國立臺灣藝術大學/雕塑學系
056172,國立臺灣藝術大學/古蹟藝術修護學系
056182,國立臺灣藝術大學/視覺傳達設計學系
056192,國立臺灣藝術大學/工藝設計學系
056202,國立臺灣藝術大學/多媒體動畫藝術學系
058102,國立暨南國際大學/資訊管理學系(資安組)
058222,國立暨南國際大學/資訊工程學系(APCS組)
063032,國立臺南藝術大學/材質創作與設計系
079092,真理大學/資訊工程學系(APCS組)
