category_id,academic_cluster,category_name,group_internal_id
101,資訊學群,資訊工程學類,2
102,資訊學群,生物資訊學類,3
103,資訊學群,資訊傳播學類,4
104,資訊學群,數位媒體設計學類,5
105,資訊學群,圖書資訊學類,6
106,資訊學群,數位學習學類,7
107,資訊學群,資訊管理學類,8
108,資訊學群,電子商務學類,9
,,,
201,工程學群,電機工程學類,11
202,工程學群,光電學類,12
203,工程學群,電子工程學類,13
204,工程學群,通訊工程學類,14
205,工程學群,工程科學學類,15
206,工程學群,機械工程學類,16
207,工程學群,航空工程學類,17
208,工程學群,土木工程學類,18
209,工程學群,水利/海洋工程學類,19
210,工程學群,化學工程學類,20
211,工程學群,材料工程學類,21
212,工程學群,生醫/醫學工程學類,22
213,工程學群,環境工程學類,23
214,工程學群,建築學類,24
215,工程學群,科技教育學類,25
216,工程學群,工業工程與管理學類,26
217,工程學群,運輸物流管理學類,27
,,,
301,數理化學群,數學學類,29
302,數理化學群,化學學類,30
303,數理化學群,物理學類,31
304,數理化學群,自然科學學類,32
305,數理化學群,生化學類,33
306,數理化學群,數學資訊教育學類,34
307,數理化學群,統計學類,35
,,,
401,醫藥衛生學群,醫學學類,37
402,醫藥衛生學群,公共衛生學類,38
403,醫藥衛生學群,牙醫學類,39
404,醫藥衛生學群,物理治療學類,40
405,醫藥衛生學群,職能治療學類,41
406,醫藥衛生學群,護理學類,42
407,醫藥衛生學群,醫學檢驗暨生物技術學類,43
408,醫藥衛生學群,醫學影像暨放射科學學類,44
409,醫藥衛生學群,藥學學類,45
410,醫藥衛生學群,食品營養保健學類,46
411,醫藥衛生學群,呼吸治療學類,47
412,醫藥衛生學群,健康照護學類,48
413,醫藥衛生學群,化妝品學類,49
414,醫藥衛生學群,職業安全與衛生學類,50
415,醫藥衛生學群,獸醫學類,51
416,醫藥衛生學群,醫務管理學類,52
417,醫藥衛生學群,運動保健學類,53
,,,
501,生命科學學群,生物資訊學類,55
502,生命科學學群,生醫/醫學工程學類,56
503,生命科學學群,生化學類,57
504,生命科學學群,生命科學學類,58
505,生命科學學群,生物科技學類,59
506,生命科學學群,植物保護與昆蟲學類,60
507,生命科學學群,生態學類,61
508,生命科學學群,食品生技學類,62
,,,
601,生物資源學群,獸醫學類,64
602,生物資源學群,植物保護與昆蟲學類,65
603,生物資源學群,生態學類,66
604,生物資源學群,農藝學類,67
605,生物資源學群,動物科學學類,68
606,生物資源學群,園藝學類,69
607,生物資源學群,森林學類,70
608,生物資源學群,海洋資源學類,71
609,生物資源學群,食品生技學類,72
,,,
701,地球與環境學群,工程科學學類,74
702,地球與環境學群,環境工程學類,75
703,地球與環境學群,地質地球與環境科學學類,76
704,地球與環境學群,地理學類,77
705,地球與環境學群,海洋科學學類,78
706,地球與環境學群,大氣科學學類,79
707,地球與環境學群,綠環境與防災學類,80
708,地球與環境學群,史地學類,81
,,,
801,建築與設計學群,數位媒體設計學類,83
802,建築與設計學群,建築學類,84
803,建築與設計學群,都市計畫學類,85
804,建築與設計學群,景觀與空間設計學類,86
805,建築與設計學群,工業設計學類,87
806,建築與設計學群,工藝學類,88
807,建築與設計學群,商業設計學類,89
808,建築與設計學群,時尚與服裝設計學類,90
809,建築與設計學群,藝術與設計學類,91
,,,
901,藝術學群,美術學類,93
902,藝術學群,音樂學類,94
903,藝術學群,表演藝術學類,95
904,藝術學群,藝術與設計學類,96
,,,
1001,社會與心理學群,心理學類,98
1002,社會與心理學群,社會學學類,99
1003,社會與心理學群,社會工作學類,100
1004,社會與心理學群,人類/民族學學類,101
1005,社會與心理學群,兒童與家庭學類,102
1006,社會與心理學群,宗教學類,103
1007,社會與心理學群,輔導與諮商學類,104
1008,社會與心理學群,犯罪防治學類,105
1009,社會與心理學群,勞工關係學類,106
,,,
1101,大眾傳播學群,資訊傳播學類,108
1102,大眾傳播學群,大眾傳播學類,109
1103,大眾傳播學群,廣播電視電影學類,110
1104,大眾傳播學群,新聞學類,111
1105,大眾傳播學群,廣告學類,112
,,,
1201,外語學群,英語文學類,114
1202,外語學群,歐語文學類,115
1203,外語學群,日語文學類,116
