dept_id,univ_id,univ_name,department,academic_cluster,category,category_id
008212,008,中原大學,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
008192,008,中原大學,資訊工程學系,資訊學群,資訊工程學類,0101
008152,008,中原大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
008222,008,中原大學,電機資訊學院智慧運算與大數據學士班,資訊學群,資訊工程學類,0101
017182,017,中國文化大學,資訊工程學系,資訊學群,資訊工程學類,0101
134232,134,亞洲大學,人工智慧學系,資訊學群,資訊工程學類,0101
,134,亞洲大學,資訊工程學系,資訊學群,資訊工程學類,0101
130092,130,佛光大學,人工智慧技術與應用學士學位學程,資訊學群,資訊工程學類,0101
040192,040,元智大學,資訊學院英語學士班,資訊學群,資訊工程學類,0101
040162,040,元智大學,資訊工程學系,資訊學群,資訊工程學類,0101
040282,040,元智大學,電機通訊學院英語學士班,資訊學群,資訊工程學類,0101
059422,059,南華大學,資訊工程學系,資訊學群,資訊工程學類,0101
016242,016,國立中央大學,資訊工程學系,資訊學群,資訊工程學類,0101
016282,016,國立中央大學,資訊電機學院學士班,資訊學群,資訊工程學類,0101
027172,027,國立中山大學,資訊工程學系,資訊學群,資訊工程學類,0101
041152,041,國立中正大學,資訊工程學系,資訊學群,資訊工程學類,0101
003242,003,國立中興大學,智慧創意工程學士學位學程,資訊學群,資訊工程學類,0101
003262,003,國立中興大學,資訊工程學系,資訊學群,資訊工程學類,0101
003292,003,國立中興大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
100322,100,國立嘉義大學,資訊工程學系,資訊學群,資訊工程學類,0101
150162,150,國立宜蘭大學,資訊工程學系,資訊學群,資訊工程學類,0101
036322,036,國立屏東大學,智慧機器人學系,資訊學群,資訊工程學類,0101
036332,036,國立屏東大學,資訊工程學系,資訊學群,資訊工程學類,0101
036292,036,國立屏東大學,電腦科學與人工智慧學系,資訊學群,資訊工程學類,0101
036342,036,國立屏東大學,電腦與通訊學系,資訊學群,資訊工程學類,0101
023162,023,國立彰化師範大學,資訊工程學系,資訊學群,資訊工程學類,0101
004492,004,國立成功大學,資訊工程學系,資訊學群,資訊工程學類,0101
006412,006,國立政治大學,資訊科學系,資訊學群,資訊工程學類,0101
058282,058,國立暨南國際大學,科技學院學士班,資訊學群,資訊工程學類,0101
058212,058,國立暨南國際大學,資訊工程學系,資訊學群,資訊工程學類,0101
,034,國立東華大學,資訊工程學系,資訊學群,資訊工程學類,0101
,011,國立清華大學,資訊工程學系,資訊學群,資訊工程學類,0101
011402,011,國立清華大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
151152,151,國立聯合大學,資訊工程學系,資訊學群,資訊工程學類,0101
031182,031,國立臺中教育大學,數位內容科技學系,資訊學群,資訊工程學類,0101
031172,031,國立臺中教育大學,資訊工程學系,資訊學群,資訊工程學類,0101
099362,099,國立臺北大學,資訊工程學系,資訊學群,資訊工程學類,0101
032302,032,國立臺北教育大學,資訊科學系,資訊學群,資訊工程學類,0101
033162,033,國立臺南大學,資訊工程學系,資訊學群,資訊工程學類,0101
038172,038,國立臺東大學,綠能與資訊科技學系,資訊學群,資訊工程學類,0101
038122,038,國立臺東大學,資訊工程學系,資訊學群,資訊工程學類,0101
001582,001,國立臺灣大學,資訊工程學系,資訊學群,資訊工程學類,0101
002332,002,國立臺灣師範大學,資訊工程學系,資訊學群,資訊工程學類,0101
021222,021,國立臺灣海洋大學,資訊工程學系,資訊學群,資訊工程學類,0101
153122,153,國立金門大學,資訊工程學系,資訊學群,資訊工程學類,0101
,013,國立陽明交通大學,資訊工程學系,資訊學群,資訊工程學類,0101
101242,101,國立高雄大學,資訊工程學系,資訊學群,資訊工程學類,0101
022182,022,國立高雄師範大學,軟體工程與管理學系,資訊學群,資訊工程學類,0101
019052,019,大同大學,資訊工程學系,資訊學群,資訊工程學類,0101
,042,大葉大學,資訊工程學系,資訊學群,資訊工程學類,0101
,050,實踐大學,資訊科技與通訊學系,資訊學群,資訊工程學類,0101
,112,康寧大學,健康數位科技學系,資訊學群,資訊工程學類,0101
009172,009,東海大學,資訊工程學系,資訊學群,資訊工程學類,0101
014482,014,淡江大學,人工智慧學系,資訊學群,資訊工程學類,0101
,014,淡江大學,資訊工程學系,資訊學群,資訊工程學類,0101
,079,真理大學,資訊工程學系,資訊學群,資訊工程學類,0101
,045,義守大學,資訊工程學系,資訊學群,資訊工程學類,0101
035162,035,臺北市立大學,資訊科學系,資訊學群,資訊工程學類,0101
020332,020,輔仁大學,人工智慧與資訊安全學士學位學程,資訊學群,資訊工程學類,0101
020232,020,輔仁大學,資訊工程學系,資訊學群,資訊工程學類,0101
020302,020,輔仁大學,醫學資訊與創新應用學士學位學程,資訊學群,資訊工程學類,0101
015522,015,逢甲大學,人工智慧技術與應用學士學位學程,資訊學群,資訊工程學類,0101
015482,015,逢甲大學,澳洲蒙納許大學資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
015512,015,逢甲大學,美國加州舊金山州立大學資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
,015,逢甲大學,美國普渡大學電機資訊雙學士學位學程,資訊學群,資訊工程學類,0101
015252,015,逢甲大學,資訊工程學系,資訊學群,資訊工程學類,0101
015312,015,逢甲大學,資訊電機學院學士班,資訊學群,資訊工程學類,0101
,046,銘傳大學,人工智慧應用學系,資訊學群,資訊工程學類,0101
,046,銘傳大學,資訊工程學系,資訊學群,資訊工程學類,0101
030192,030,長庚大學,人工智慧學系,資訊學群,資訊工程學類,0101
030152,030,長庚大學,資訊工程學系,資訊學群,資訊工程學類,0101
051542,051,長榮大學,資訊工程學系,資訊學群,資訊工程學類,0101
110192,110,開南大學,AI科技與創新設計學士學位學程,資訊學群,資訊工程學類,0101
018292,018,靜宜大學,人工智慧應用學系,資訊學群,資訊工程學類,0101
018322,018,靜宜大學,晶片設計學士學位學程,資訊學群,資訊工程學類,0101
018342,018,靜宜大學,資料科學暨大數據分析與應用學系,資訊學群,資訊工程學類,0101
018252,018,靜宜大學,資訊工程學系,資訊學群,資訊工程學類,0101
012172,012,中國醫藥大學,醫療資訊學系,資訊學群,生物資訊學類,0102
026242,026,中山醫學大學,醫學資訊學系,資訊學群,生物資訊學類,0102
108102,108,慈濟大學,資訊工程學系,資訊學群,生物資訊學類,0102
047082,047,世新大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
