univ_name,department,academic_cluster,category,category_id
中原大學,中原大學美國威大密爾瓦基分校電機與資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
中原大學,資訊工程學系,資訊學群,資訊工程學類,0101
中原大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
中原大學,電機資訊學院智慧運算與大數據學士班,資訊學群,資訊工程學類,0101
中國文化大學,資訊工程學系,資訊學群,資訊工程學類,0101
中華大學,資訊工程學系,資訊學群,資訊工程學類,0101
亞洲大學,人工智慧學系,資訊學群,資訊工程學類,0101
亞洲大學,資訊工程學系,資訊學群,資訊工程學類,0101
佛光大學,人工智慧技術與應用學士學位學程,資訊學群,資訊工程學類,0101
元智大學,資訊學院英語學士班,資訊學群,資訊工程學類,0101
元智大學,資訊工程學系,資訊學群,資訊工程學類,0101
元智大學,電機通訊學院英語學士班,資訊學群,資訊工程學類,0101
南華大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立中央大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立中央大學,資訊電機學院學士班,資訊學群,資訊工程學類,0101
國立中山大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立中正大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立中興大學,智慧創意工程學士學位學程,資訊學群,資訊工程學類,0101
國立中興大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立中興大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
國立嘉義大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立宜蘭大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立屏東大學,智慧機器人學系,資訊學群,資訊工程學類,0101
國立屏東大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立屏東大學,電腦科學與人工智慧學系,資訊學群,資訊工程學類,0101
國立屏東大學,電腦與通訊學系,資訊學群,資訊工程學類,0101
國立彰化師範大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立成功大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立政治大學,資訊科學系,資訊學群,資訊工程學類,0101
國立暨南國際大學,科技學院學士班,資訊學群,資訊工程學類,0101
國立暨南國際大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立東華大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立清華大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立清華大學,電機資訊學院學士班,資訊學群,資訊工程學類,0101
國立聯合大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺中教育大學,數位內容科技學系,資訊學群,資訊工程學類,0101
國立臺中教育大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺北大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺北教育大學,資訊科學系,資訊學群,資訊工程學類,0101
國立臺南大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺東大學,綠能與資訊科技學系,資訊學群,資訊工程學類,0101
國立臺東大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺灣大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺灣師範大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立臺灣海洋大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立金門大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立陽明交通大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立高雄大學,資訊工程學系,資訊學群,資訊工程學類,0101
國立高雄師範大學,軟體工程與管理學系,資訊學群,資訊工程學類,0101
大同大學,資訊工程學系,資訊學群,資訊工程學類,0101
大葉大學,資訊工程學系,資訊學群,資訊工程學類,0101
實踐大學,資訊科技與通訊學系,資訊學群,資訊工程學類,0101
康寧大學,健康數位科技學系,資訊學群,資訊工程學類,0101
東海大學,資訊工程學系,資訊學群,資訊工程學類,0101
淡江大學,人工智慧學系,資訊學群,資訊工程學類,0101
淡江大學,資訊工程學系,資訊學群,資訊工程學類,0101
真理大學,資訊工程學系,資訊學群,資訊工程學類,0101
義守大學,資訊工程學系,資訊學群,資訊工程學類,0101
臺北市立大學,資訊科學系,資訊學群,資訊工程學類,0101
輔仁大學,人工智慧與資訊安全學士學位學程,資訊學群,資訊工程學類,0101
輔仁大學,資訊工程學系,資訊學群,資訊工程學類,0101
輔仁大學,醫學資訊與創新應用學士學位學程,資訊學群,資訊工程學類,0101
逢甲大學,人工智慧技術與應用學士學位學程,資訊學群,資訊工程學類,0101
逢甲大學,澳洲蒙納許大學資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
逢甲大學,美國加州舊金山州立大學資訊工程雙學士學位學程,資訊學群,資訊工程學類,0101
逢甲大學,美國普渡大學電機資訊雙學士學位學程,資訊學群,資訊工程學類,0101
逢甲大學,資訊工程學系,資訊學群,資訊工程學類,0101
逢甲大學,資訊電機學院學士班,資訊學群,資訊工程學類,0101
銘傳大學,人工智慧應用學系,資訊學群,資訊工程學類,0101
銘傳大學,資訊工程學系,資訊學群,資訊工程學類,0101
長庚大學,人工智慧學系,資訊學群,資訊工程學類,0101
長庚大學,資訊工程學系,資訊學群,資訊工程學類,0101
長榮大學,資訊工程學系,資訊學群,資訊工程學類,0101
開南大學,AI科技與創新設計學士學位學程,資訊學群,資訊工程學類,0101
靜宜大學,人工智慧應用學系,資訊學群,資訊工程學類,0101
靜宜大學,晶片設計學士學位學程,資訊學群,資訊工程學類,0101
靜宜大學,資料科學暨大數據分析與應用學系,資訊學群,資訊工程學類,0101
靜宜大學,資訊工程學系,資訊學群,資訊工程學類,0101
中國醫藥大學,醫療資訊學系,資訊學群,生物資訊學類,0102
中山醫學大學,醫學資訊學系,資訊學群,生物資訊學類,0102
慈濟大學,資訊工程學系,資訊學群,生物資訊學類,0102
世新大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
中國文化大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
亞洲大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
元智大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
淡江大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
真理大學,人文與資訊學系,資訊學群,資訊傳播學類,0103
真理大學,運動資訊傳播學系,資訊學群,資訊傳播學類,0103
開南大學,資訊傳播學系,資訊學群,資訊傳播學類,0103
靜宜大學,智慧媒體與創新科技應用學士學位學程,資訊學群,資訊傳播學類,0103
世新大學,數位多媒體設計學系,資訊學群,數位媒體設計學類,0104
亞洲大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
國立臺北教育大學,數位科技設計學系,資訊學群,數位媒體設計學類,0104
國立臺北藝術大學,動畫學系,資訊學群,數位媒體設計學類,0104
國立臺東大學,數位媒體與文教產業學系,資訊學群,數位媒體設計學類,0104
國立臺灣藝術大學,多媒體動畫藝術學系,資訊學群,數位媒體設計學類,0104
大同大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
大葉大學,AI創新設計學士學位學程,資訊學群,數位媒體設計學類,0104
大葉大學,多媒體數位內容學士學位學程,資訊學群,數位媒體設計學類,0104
實踐大學,媒體傳達設計學系,資訊學群,數位媒體設計學類,0104
實踐大學,數位多媒體遊戲設計學系,資訊學群,數位媒體設計學類,0104
實踐大學,視覺特效學士學位學程,資訊學群,數位媒體設計學類,0104
實踐大學,電腦動畫學士學位學程,資訊學群,數位媒體設計學類,0104
明道大學(112學年度起停招、113年停辦)(專案輔導至112/5/31),數位設計學系,資訊學群,數位媒體設計學類,0104
臺灣首府大學(111學年度起停招、112年停辦)(專案輔導至113/5/31),資訊與多媒體設計學系,資訊學群,數位媒體設計學類,0104
華梵大學,攝影與VR設計學系,資訊學群,數位媒體設計學類,0104
銘傳大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
長榮大學,互動設計學系,資訊學群,數位媒體設計學類,0104
長榮大學,數位內容設計學系,資訊學群,數位媒體設計學類,0104
長榮大學,數位媒體設計學系,資訊學群,數位媒體設計學類,0104
長榮大學,資訊暨設計學院學士班,資訊學群,數位媒體設計學類,0104
國立臺灣大學,圖書資訊學系,資訊學群,圖書資訊學類,0105
淡江大學,資訊與圖書館學系,資訊學群,圖書資訊學類,0105
輔仁大學,圖書資訊學系,資訊學群,圖書資訊學類,0105
國立嘉義大學,數位學習設計與管理學系,資訊學群,數位學習學類,0106
國立臺南大學,數位學習科技學系,資訊學群,數位學習學類,0106
淡江大學,教育科技學系,資訊學群,數位學習學類,0106
臺北市立大學,學習與媒材設計學系,資訊學群,數位學習學類,0106
世新大學,資訊管理學系,資訊學群,資訊管理學類,0107
中信金融管理學院,科技金融學系,資訊學群,資訊管理學類,0107
中原大學,資訊管理學系,資訊學群,資訊管理學類,0107
中國文化大學,資訊管理學系,資訊學群,資訊管理學類,0107
中華大學,中華大學美國舊金山州立大學資訊管理與決策科學學士學位學程,資訊學群,資訊管理學類,0107
中華大學,加州大學爾灣分校資訊管理與資料科學學士學位學程,資訊學群,資訊管理學類,0107
中華大學,應用外語暨智慧商務學士學位學程,資訊學群,資訊管理學類,0107
中華大學,資訊管理學系,資訊學群,資訊管理學類,0107
佛光大學,資訊應用學系,資訊學群,資訊管理學類,0107
元智大學,資訊學院英語學士班,資訊學群,資訊管理學類,0107
元智大學,資訊管理學系,資訊學群,資訊管理學類,0107
南華大學,資訊管理學系,資訊學群,資訊管理學類,0107
國立中央大學,資訊管理學系,資訊學群,資訊管理學類,0107
國立中山大學,資訊管理學系,資訊學群,資訊管理學類,0107
國立中正大學,資訊管理學系,資訊學群,資訊管理學類,0107
